CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,Tenure,IsActiveMember,EstimatedSalary,Exited
15634602,Hargrave,619,FRA,Female,42,2,€0.0,1,Yes,2,Yes,€101348.88,1
15647311,Hill,608,Spain,Female,41,1,€0.0,1,Yes,2,Yes,€112542.58,1
15619304,Onio,502,French,Female,42,8,€83807.86,1,Yes,1,Yes,€113931.57,0
15701354,Boni,699,FRA,Female,39,1,€159660.8,3,No,8,No,€93826.63,1
15737888,Mitchell,850,Spain,Female,43,2,€0.0,2,No,1,No,€79084.1,0
15574012,Chu,645,Spain,Male,44,8,€125510.82,1,Yes,2,Yes,€149756.71,0
15592531,Bartlett,822,France,Male,50,7,€113755.78,2,No,8,No,€10062.8,1
15656148,Obinna,376,Germany,Female,29,4,€0.0,2,Yes,7,Yes,€119346.88,0
15792365,He,501,French,Male,44,4,€115046.74,4,No,4,No,€74940.5,1
15592389,H?,684,France,Male,27,2,€142051.07,2,Yes,4,Yes,€71725.73,0
15767821,Bearce,528,French,Male,31,6,€134603.88,1,Yes,2,Yes,€80181.12,0
15737173,Andrews,497,Spain,Male,24,3,€102016.72,2,No,6,No,€76390.01,0
15632264,Kay,476,FRA,Female,34,10,€0.0,2,No,3,No,€26260.98,0
15691483,Chin,549,France,Female,25,5,€0.0,2,No,10,No,€190857.79,0
15600882,Scott,635,Spain,Female,35,7,€0.0,2,No,5,No,€65951.65,0
15643966,Goforth,616,Germany,Male,45,3,€0.0,2,Yes,7,Yes,€64327.26,0
15737452,Romeo,653,Germany,Male,58,1,€143129.41,2,Yes,3,Yes,€5097.67,0
15788218,Henderson,549,Spain,Female,24,9,€132602.88,1,No,1,No,€14406.41,1
15661507,Muldrow,587,Spain,Male,45,6,€0.0,2,Yes,9,Yes,€158684.81,0
15568982,Hao,726,French,Female,24,6,€0.0,1,No,6,No,€54724.03,0
15577657,McDonald,732,French,Male,41,8,€0.0,2,Yes,6,Yes,€170886.17,0
15597945,Dellucci,636,Spain,Female,32,8,€0.0,2,Yes,8,Yes,€138555.46,0
15699309,Gerasimov,510,Spain,Female,38,4,€0.0,2,No,8,No,€118913.53,0
15725737,Mosman,669,France,Male,46,3,€0.0,1,No,4,No,€8487.75,1
15625047,Yen,846,FRA,Female,38,5,€0.0,2,Yes,3,Yes,€187616.16,0
15738191,Maclean,577,France,Male,25,3,€0.0,1,Yes,5,Yes,€124508.29,0
15736816,Young,756,Germany,Male,36,2,€0.0,2,Yes,3,Yes,€170041.95,0
15700772,Nebechi,571,FRA,Male,44,9,€136815.64,1,Yes,2,Yes,€38433.35,0
15728693,,574,Germany,Female,,3,€0.0,2,No,9,No,-€999999,0
15656300,Lucciano,411,French,Male,29,0,€141349.43,1,Yes,3,Yes,€53483.21,0
15589475,Azikiwe,591,Spain,Female,39,3,€59697.17,2,Yes,0,Yes,€140469.38,0
15706552,Odinakachukwu,533,France,Male,36,7,€0.0,3,No,3,No,€156731.91,1
15750181,Sanderson,553,Germany,Male,41,9,€85311.7,1,Yes,7,Yes,€81898.81,0
15659428,Maggard,520,Spain,Female,42,6,€110112.54,2,No,9,No,€34410.55,0
15732963,Clements,722,Spain,Female,29,9,€0.0,2,Yes,6,Yes,€142033.07,0
15794171,Lombardo,475,France,Female,45,0,€0.0,2,Yes,9,Yes,€27822.99,0
15788448,Watson,490,Spain,Male,31,3,€134264.04,1,No,0,No,€114066.77,1
15729599,Lorenzo,804,Spain,Male,33,7,€145260.23,1,Yes,3,Yes,€98453.45,0
15717426,Armstrong,850,French,Male,36,7,€76548.6,1,Yes,7,Yes,€40812.9,0
15585768,Cameron,582,Germany,Male,41,6,€0.0,1,Yes,7,Yes,€178074.04,0
15619360,Hsiao,472,Spain,Male,40,4,€70349.48,2,Yes,6,Yes,€70154.22,0
15738148,Clarke,465,FRA,Female,51,8,€0.0,1,No,4,No,€181297.65,0
15687946,Osborne,556,FRA,Female,61,2,€122522.32,1,No,8,No,€94153.83,1
15755196,Lavine,834,FRA,Female,49,2,€117419.35,1,Yes,2,Yes,€194365.76,0
15684171,Bianchi,660,Spain,Female,61,5,€131394.56,1,No,2,No,€158338.39,1
15754849,Tyler,776,Germany,Female,32,4,€155931.11,1,Yes,5,Yes,€126517.46,0
15602280,Martin,829,Germany,Female,27,9,€109421.13,2,Yes,4,Yes,€119708.21,0
15771573,Okagbue,637,Germany,Female,39,9,€112045.67,1,Yes,9,Yes,€117622.8,1
15766205,Yin,550,Germany,Male,38,2,€137843.8,1,Yes,9,Yes,€90878.13,1
15771873,Buccho,776,Germany,Female,37,2,€103391.38,1,Yes,2,Yes,€194099.12,0
15616550,Chidiebele,698,Germany,Male,44,10,€103769.22,2,No,2,No,€198059.16,0
15768193,Trevisani,585,Germany,Male,36,5,€116363.37,2,No,10,No,€86424.57,0
15683553,O'Brien,788,FRA,Female,33,5,€146050.97,2,No,5,No,€116978.19,0
15702298,Parkhill,655,Germany,Male,41,8,€0.0,2,No,5,No,€164040.94,0
15569590,Yoo,601,Germany,Male,42,1,€125561.97,1,No,8,No,€40014.76,1
15760861,Phillipps,619,French,Male,43,1,€98495.72,1,No,1,No,€113410.49,1
15630053,Tsao,656,France,Male,45,5,€125211.92,1,Yes,1,Yes,€87107.57,0
15647091,Endrizzi,725,Germany,Male,19,0,€127864.4,1,No,5,No,€45613.75,0
15623944,T'ien,511,Spain,Female,66,4,€75888.2,1,No,0,No,€1643.11,0
15804771,Velazquez,614,FRA,Male,51,4,€0.0,1,No,4,No,€46775.28,1
15651280,Hunter,742,Germany,Male,35,5,€40685.92,1,Yes,4,Yes,€84509.57,0
15773469,Clark,687,Germany,Female,27,9,€136857.0,1,No,5,No,€126494.82,0
15702014,Jeffrey,555,Spain,Male,33,1,€152328.88,2,No,9,No,€178798.13,0
15751208,Pirozzi,684,Spain,Male,56,8,€56084.69,2,No,1,No,€99398.36,0
15592461,Jackson,603,Germany,Male,26,4,€78707.16,1,Yes,8,Yes,€92840.67,0
15789484,Hammond,751,Germany,Female,36,6,€109166.37,1,Yes,4,Yes,€27758.36,0
15696061,Brownless,581,Germany,Female,34,1,€169831.46,2,Yes,6,Yes,€110431.51,0
15641582,Chibugo,735,Germany,Male,43,10,€101633.04,1,No,1,No,€196673.28,0
15638424,Glauert,661,Germany,Female,35,5,€123180.01,2,Yes,10,Yes,€113656.85,0
15755648,Pisano,675,FRA,Female,21,8,€150725.53,2,Yes,5,Yes,€18203.0,0
15703793,Konovalova,738,Germany,Male,58,2,€98373.26,1,No,8,No,€28373.86,0
15620344,McKee,813,France,Male,29,6,€133745.44,4,No,2,No,€33953.87,1
15812518,Palermo,657,Spain,Female,37,0,€0.0,1,No,6,No,€44203.55,0
15779052,Ballard,604,Germany,Female,25,5,€163607.18,1,Yes,0,Yes,€58426.81,0
15770811,Wallace,519,FRA,Male,36,9,€157780.84,2,Yes,5,Yes,€145562.4,0
15780961,Cavenagh,735,France,Female,21,1,€0.0,2,Yes,9,Yes,€22388.0,0
15614049,Hu,664,FRA,Male,55,8,€178718.19,2,No,1,No,€139161.64,0
15662085,Read,678,FRA,Female,32,9,€0.0,2,Yes,8,Yes,€148210.64,0
15575185,Bushell,757,Spain,Male,33,5,€0.0,1,Yes,9,Yes,€194239.63,0
15803136,Postle,416,Germany,Female,41,10,€77253.22,1,Yes,5,Yes,€98301.61,0
15706021,Buley,665,France,Female,34,1,€122189.66,2,No,10,No,€171413.66,0
15663706,Leonard,777,France,Female,32,2,€96645.54,2,No,1,No,€136458.19,0
15641732,Mills,543,France,Female,36,3,€0.0,1,No,2,No,€26019.59,1
15701164,Onyeorulu,506,FRA,Female,34,4,€0.0,2,No,3,No,€159235.29,0
15738751,Beit,493,France,Female,46,4,€90307.62,1,Yes,4,Yes,€1907.66,0
15805254,Ndukaku,652,Spain,Female,75,10,€0.0,2,No,4,No,€114675.75,0
15762418,Gant,750,Spain,Male,22,3,€0.0,2,Yes,10,Yes,€128643.35,0
15625759,Rowley,729,France,Male,30,9,€121681.82,1,No,3,No,€151869.35,1
15622897,Sharpe,646,French,Female,46,4,€0.0,2,No,9,No,€93251.42,0
15767954,Osborne,635,Germany,Female,28,3,€0.0,3,No,4,No,€156791.36,1
15757535,Heap,647,Spain,Female,44,5,€81623.67,2,Yes,3,Yes,€174205.22,0
15731511,Ritchie,808,France,Male,45,7,€0.0,3,Yes,5,Yes,€147132.46,1
15809248,Cole,524,FRA,Female,36,10,€118626.55,2,No,7,No,€109614.57,0
15640635,Capon,769,FRA,Male,29,8,€0.0,2,No,10,No,€172290.61,0
15676966,Capon,730,Spain,Male,42,4,€0.0,2,Yes,8,Yes,€85982.47,0
15699461,Fiorentini,515,Spain,Male,35,10,€0.0,2,Yes,4,Yes,€121277.78,0
15738721,Graham,773,Spain,Male,41,9,€176273.95,1,Yes,10,Yes,€64595.25,0
15693683,Yuille,814,Germany,Male,29,8,€102827.44,1,Yes,9,Yes,€197276.13,0
15604348,Allard,710,Spain,Male,22,8,€97086.4,2,Yes,8,Yes,€99645.04,0
15633059,Fanucci,413,France,Male,34,9,€0.0,2,No,8,No,€6534.18,0
15808582,Fu,665,FRA,Female,40,6,€0.0,2,No,9,No,€161848.03,0
15743192,Hung,623,French,Female,44,6,€0.0,1,Yes,6,Yes,€167162.43,0
15580146,Hung,738,France,Male,31,9,€0.0,2,No,6,No,€41970.72,0
15776605,Bradley,528,Spain,Male,36,7,€82674.15,1,No,9,No,€60536.56,0
15804919,Dunbabin,670,Spain,Female,65,1,€0.0,2,No,7,No,€177655.68,0
15613854,Mauldon,622,Spain,Female,46,4,€0.0,1,Yes,1,Yes,€30984.59,1
15599195,Stiger,582,Germany,Male,32,1,€107073.27,2,Yes,4,Yes,€10054.53,1
15812878,Parsons,785,Germany,Female,36,2,€88938.62,1,Yes,1,Yes,€36976.52,0
15602312,Walkom,605,Spain,Male,33,5,€99806.85,1,Yes,2,Yes,€71862.79,0
15744689,T'ang,479,Germany,Male,35,9,€150092.8,1,No,5,No,€99449.86,0
15803526,Eremenko,685,Germany,Male,30,3,€92833.89,1,No,9,No,€63082.88,1
15665790,Rowntree,538,Germany,Male,39,7,€90536.81,1,Yes,3,Yes,€27231.26,0
15715951,Thorpe,562,France,Male,42,2,€108055.1,2,No,7,No,€86797.41,0
15591100,Chiemela,675,Spain,Male,36,9,€100238.35,1,No,2,No,€22994.32,0
15609618,Fanucci,721,Germany,Male,28,9,€106190.55,1,Yes,9,Yes,€101300.94,0
15675522,Ko,628,Germany,Female,30,9,€154475.54,2,Yes,9,Yes,€74169.13,1
15705512,Welch,668,Germany,Female,37,6,€132351.29,2,Yes,9,Yes,€115638.29,0
15698028,Duncan,506,France,Female,41,1,€167864.4,1,No,6,No,€31766.3,0
15661670,Chidozie,524,Germany,Female,31,8,€0.0,2,No,1,No,€199725.39,0
